"today","base","enumerateur","uuid","question.name","ancienne.valeur","nouvelle.valeur","parent.other.question","parent.other.answer","probleme","checkid","action"
"2020-07-29","ouahigouya","ouahigouya_304","d5ff7381-7d3c-43be-afd5-b37b27d28a65","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-29","ouahigouya","ouahigouya_304","79c00937-4f0c-4800-8a40-edba616b12fb","fcs_score","15",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-29","ouahigouya","ouahigouya_304","6cdec3b9-95e0-4dd3-aaf3-4a0c32d598e3","fcs_score","14",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-29","ouahigouya","ouahigouya_310","f21ee472-0a7b-4574-938a-d728cc8b4aff","fcs_score","17.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-29","ouahigouya","ouahigouya_310","b0b4f326-8f7e-4a28-a905-a566bb70b75e","fcs_score","17.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-29","ouahigouya","ouahigouya_308","e6655f41-918e-46b9-8c26-52fd0395a720","fcs_score","17",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-29","fada","fada_412","15a20098-2b34-4379-9d49-33a14d7cb846","fcs_score","14",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-29","fada","fada_412","9d19b0da-c71e-4f06-9d59-eb5e607fcf0e","fcs_score","15",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-29","ouahigouya","ouahigouya_307","2849b444-51b5-4bd3-b22c-537be4e2a488","fcs_score","11.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-29","kaya","kaya_210","ed73239a-99d6-43a8-8fba-aaa88e6a243d","fcs_score","15.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-28","fada","fada_403","b56e4238-ef98-44d2-9e84-28249c0ab693","fcs_score","17",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-29","fada","fada_404","9102cb4e-f953-4967-a280-4fab9d5d5fae","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-29","fada","fada_404","7e30e38b-1d55-453a-8d60-e00f120f7bbc","fcs_score","19.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-29","fada","fada_404","ce74a05c-b57e-4b3d-9b66-36a5582f1814","fcs_score","17.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-29","fada","fada_403","3573eef4-954e-4210-b09f-5a115a4d15dd","fcs_score","16",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","dori","dori_101","7b023784-ce47-437d-a1cb-5d6c646aae43","fcs_score","15.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","tenkodogo","tenkodogo_804","b56c1101-128d-4537-9db0-bc3a13f5a5ad","fcs_score","15.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","tenkodogo","tenkodogo_808","b04d3819-b147-4a87-821e-b4e37fffa775","fcs_score","17",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","tenkodogo","tenkodogo_802","67ac0451-8370-41b6-aca9-51d3090352d3","fcs_score","19",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","tenkodogo","tenkodogo_802","0b73995b-e95a-44e6-85b2-435c378cd7b0","fcs_score","19",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","fada","fada_412","e858f8fa-8c7a-47dd-bf09-ad531cd40f78","fcs_score","15",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","ouahigouya","ouahigouya_310","acae267d-504a-4fb8-bc34-9e434f595961","fcs_score","17.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","ouahigouya","ouahigouya_310","ee0b5e77-4067-4aec-8696-5f90a6e8f485","fcs_score","15.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","ouahigouya","ouahigouya_304","573b1489-f3b0-43f9-b459-b7728ea49682","fcs_score","19.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","ouahigouya","ouahigouya_304","e4640ca7-d618-4674-898b-fd460dbc96e5","fcs_score","16",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","ouahigouya","ouahigouya_308","1cba324f-30ec-4c53-83f1-d574ae23ee76","fcs_score","17.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","ouahigouya","ouahigouya_308","9ff50b75-17a8-4889-a9d3-564b5b885da9","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","fada","fada_408","e316e325-eb5d-4db3-b801-c0b3c6c44d84","fcs_score","17",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","bobo","bobo_604","778539f0-c91f-4f48-a7f3-0b560614cd40","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","fada","fada_403","d914b14d-bfb2-46a8-b5a9-06b3b6a03d5c","fcs_score","19",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-07-30","fada","fada_404","2d733f21-97d2-48bb-96c1-038ae7f35141","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
