,id_sampl,FID,strata_id,psu_id,population,ADM3_FR,ADM3_PCODE,ADM3_REF,ADM3ALT1FR,ADM3ALT2FR,ADM2_FR,ADM2_PCODE,ADM1_FR,ADM1_PCODE,SumDist,proba,survey_buffer,POINT_X,POINT_Y,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_featureNam,NEAR_pcode,Exclude,Include,Check Exclure,Visité (Oui/NON),Jour visité,enquêtes faites,manque Enquètes?,Equipe,Responsable,Date enquête
151,id_31824,31823,BF5205,AMP-310,225.9784636,Diapaga,BF520502,NA,NA,NA,Tapoa,BF5205,Est,BF52,126169.1894,0.001791075,4,1.760807093,12.13753494,3945,1.31E-02,1.767474,12.12627,Tapoa,BF5205020023,NA,NA,NA,NA,NA,NA,-4,4,Alberto,NA
152,id_32264,32263,BF5202,ADA-308,84.45117303,Tibga,BF520205,NA,NA,NA,Gourma,BF5202,Est,BF52,230692.0356,0.000366078,4,0.056248412,12.14939189,4147,1.98E-02,5.75E-02,12.169167,Tibga,BF5202050003,NA,NA,NA,NA,NA,NA,-4,4,Alberto,7/29/2020
153,id_32521,32520,BF5202,ADB-307,443.3686584,Tibga,BF520205,NA,NA,NA,Gourma,BF5202,Est,BF52,230692.0356,0.001921907,4,0.063094029,12.16124885,4147,9.69E-03,5.75E-02,12.169167,Tibga,BF5202050003,NA,NA,NA,NA,NA,NA,-4,4,Alberto,7/29/2020
154,id_56455,56454,BF4901,TF-171,128.4781435,Tikaré,BF490108,Tikare,NA,NA,Bam,BF4901,Centre-Nord,BF49,212290.5181,0.0006052,4,-1.689383973,13.2362796,8137,2.47E-02,-1.671477,13.253256,Gassongo,BF4901080003,NA,NA,NA,oui,7/22/2020,4,0,2,Robin,NA
155,id_33324,33323,BF48,AAL-304,549.0624072,Pouytenga,BF480307,NA,NA,NA,Kourittenga,BF4803,Centre-Est,BF48,868756.8287,0.000632009,4,-0.40240794,12.18496276,4190,1.44E-02,-0.416667,12.183333,Goargo,BF4803070007,NA,NA,NA,oui,7/19/2020,4,0,8,Robin,7/19/2020
156,id_51897,51896,BF5402,PQ-206,348.1006519,Yako,BF540210,NA,NA,NA,Passoré,BF5402,Nord,BF54,298176.0809,0.001167433,4,-2.326026372,12.95566495,7153,1.44E-02,-2.316667,12.966667,Golo,BF5402100047,NA,NA,NA,oui,8/5/2020,4,0,3,Robin,8/3/2020
157,id_26965,26964,BF48,AAU-333,241.0824577,Dialgaye,BF480303,NA,NA,NA,Kourittenga,BF4803,Centre-Est,BF48,868756.8287,0.000277503,4,-0.340797386,11.95177595,3242,9.37E-03,-0.35,11.95,Gomtenga,BF4803030009,NA,NA,NA,oui,7/18/2020,4,0,8,Robin,7/18/2020
158,id_53353,NA,BF4903,WT-197,418.3407565,Boussouma,BF490302,NA,NA,NA,Sanmatenga,BF4903,Centre-Nord,BF49,438084.3056,0.000954932,4,-1.059587191,13.03075901,7375,6.69E-03,-1.064286,13.025996,Goro,BF4903020081,NA,NA,NA,oui,8/5/2020,4,0,2,Robin,NA
159,id_17846,17845,BF48,ACJ-381,187.3917877,Lalgaye,BF480203,NA,NA,NA,Koulpélogo,BF4802,Centre-Est,BF48,868756.8287,0.000215701,4,-0.060127081,11.57630565,2461,9.60E-03,-6.67E-02,11.583333,Gouankadene,BF4802030009,NA,NA,NA,oui,7/15/2020,4,0,8,Robin,7/15/2020
160,id_58669,58668,BF5403,RF-147,1123.462756,Senguènèga,BF540310,Senguenega,NA,NA,Yatenga,BF5403,Nord,BF54,480120.4957,0.00233996,4,-2.045356067,13.42599091,8635,6.06E-03,-2.044457,13.419994,Goubre,BF5403100018,NA,NA,NA,oui,7/17/2020,4,0,3,Robin,7/16/2020
161,id_55921,55920,BF5404,PL-175,4061.958915,Goursi,BF540403,NA,NA,NA,Zondoma,BF5404,Nord,BF54,170860.0825,0.023773598,4,-2.360254458,13.20466105,7984,3.37E-03,-2.358932,13.207756,Gourcy,BF5404030026,NA,NA,NA,oui,8/1/2020,4,0,3,Robin,7/19/2020
162,id_55922,55921,BF5404,PM-175,3360.34783,Goursi,BF540403,NA,NA,NA,Zondoma,BF5404,Nord,BF54,170860.0825,0.019667249,8,-2.353408841,13.20070873,7984,8.95E-03,-2.358932,13.207756,Gourcy,BF5404030026,NA,NA,NA,oui,8/1/2020,8,0,3,Robin,7/19/2020
163,id_56034,56033,BF5404,PO-174,1458.612519,Goursi,BF540403,NA,NA,NA,Zondoma,BF5404,Nord,BF54,170860.0825,0.008536883,4,-2.339717606,13.20861337,7984,1.92E-02,-2.358932,13.207756,Gourcy,BF5404030026,NA,NA,NA,oui,8/1/2020,4,0,3,Robin,7/19/2020
164,id_56152,56151,BF5404,PK-173,147.7075969,Goursi,BF540403,NA,NA,NA,Zondoma,BF5404,Nord,BF54,170860.0825,0.000864494,4,-2.367100075,13.216518,7984,1.20E-02,-2.358932,13.207756,Gourcy,BF5404030026,NA,NA,NA,oui,8/1/2020,4,0,3,Robin,7/19/2020
165,id_59607,59606,BF5403,PK-133,481.47262,Oula,BF540308,NA,NA,NA,Yatenga,BF5403,Nord,BF54,480120.4957,0.001002816,4,-2.367100075,13.53270352,8963,1.47E-02,-2.366455,13.547389,Gourga,BF5403070015,NA,NA,NA,oui,7/28/2020,4,0,3,Robin,7/26/2020
166,id_59684,59683,BF4901,TV-132,81.65662559,Kongoussi,BF490103,NA,NA,NA,Bam,BF4901,Centre-Nord,BF49,212290.5181,0.000384646,4,-1.579854098,13.54456047,8924,1.87E-02,-1.566671,13.53125,Housi,BF4901030058,NA,NA,EXCLURE,NA,NA,NA,-4,2,Robin,7/20/2020
167,id_49898,49897,BF4903,XA-221,128.7202328,Boussouma,BF490302,NA,NA,NA,Sanmatenga,BF4903,Centre-Nord,BF49,438084.3056,0.000293825,4,-1.01166787,12.83709539,6673,2.10E-02,-1.016667,12.816667,Ileala,BF4903050032,NA,NA,NA,oui,7/18/2020,4,0,2,Robin,NA
168,id_48547,48546,BF55,TK-229,207.3178372,Toèguen,BF550205,Toeguen,NA,NA,Kourwéogo,BF5502,Plateau-Central,BF55,599312.4253,0.000345926,4,-1.655155887,12.77385828,6457,1.36E-02,-1.666667,12.766667,Imkouka,BF5502050015,NA,NA,NA,oui,8/3/2020,4,0,8,Robin,8/1/2020
169,id_58983,58982,BF5403,OV-143,307.6306211,Ouahigouya,BF540307,NA,NA,NA,Yatenga,BF5403,Nord,BF54,480120.4957,0.000640736,4,-2.469784333,13.45760946,8747,3.60E-03,-2.466924,13.459795,Ipo,BF5403070002,NA,NA,NA,oui,7/28/2020,4,0,3,Robin,7/26/2020
170,id_32793,32792,BF5202,ADB-306,1520.121114,Tibga,BF520205,NA,NA,NA,Gourma,BF5202,Est,BF52,230692.0356,0.006589396,4,0.063094029,12.16915349,4147,5.59E-03,5.75E-02,12.169167,Tibga,BF5202050003,NA,NA,NA,NA,NA,NA,-4,4,Alberto,7/29/2020
171,id_38201,38200,BF13,UG-285,4621.591606,Ouagadougou,BF130004,NA,NA,NA,Kadiogo,BF1300,Centre,BF13,2907110.407,0.001589754,4,-1.504552308,12.33119856,4847,5.03E-03,-1.5,12.333333,Kadiogo,BF1300040035,NA,NA,NA,oui,8/9/2020,4,0,8,Robin,8/4/2020
172,id_3637,3636,BF47,BK-507,256.60834,Banfora,BF470101,NA,NA,NA,Comoé,BF4701,Cascades,BF47,501490.9371,0.000511691,4,-4.858904734,10.57636896,969,1.24E-02,-4.866667,10.566667,Diongolo,BF4701010020,NA,NA,NA,NA,NA,NA,-4,6,Margot,NA
173,id_3927,3926,BF47,BZ-503,14.66333371,Banfora,BF470101,NA,NA,NA,Comoé,BF4701,Cascades,BF47,501490.9371,2.92E-05,4,-4.756220476,10.61193983,1017,1.59E-02,-4.766667,10.6,Kossara,BF4701010022,NA,NA,NA,NA,NA,NA,-4,6,Margot,NA
